"adm1","adm2","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity"
"Osun","Ola Oluwa",38059.0343447966,32749.7580396194,3172.64026947478,253.80319051741
"Osun","Olorunda",65730.4342615888,56560.9678481097,5479.35664313281,438.334661319828
"Osun","Oriade",74083.4803553409,63748.7550101761,6175.67516161462,494.038380177402
"Osun","Orolu",51342.52456143,44180.1870561631,4279.96568395227,342.386420655231
"Osun","Osogbo",77642.3872624698,66811.1905685269,6472.34930385839,517.771560572906
"Oyo","Afijio",55309.2325565338,74314.077672338,7199.17782884177,575.92664707856
"Oyo","Akinyele",88627.2457864188,119080.517353504,11535.927609278,922.862063822829
"Oyo","Atiba",70398.5137437707,94588.1976037961,9163.23362125002,733.049042731188
"Oyo","Atigbo",46012.2235526179,61822.5167284895,5989.05760113619,479.118302865656
"Oyo","Egbeda",118683.627746421,159464.594301995,15448.135908326,1235.83460900944
"Oyo","Ibadan Central (Ibadan North East)",138684.812651061,186338.400714386,18051.5364666119,1444.10391283594
"Oyo","Ibadan North",128925.02440603,173225.044622066,16781.1798208928,1342.47671859831
"Oyo","Ibadan North West",64449.7502076677,86595.3751573001,8388.92877956991,671.105470577857
"Oyo","Ibadan South East",111492.557187832,149802.594824927,14512.1295068971,1160.95508231414
"Oyo","Ibadan South West",118455.585534479,159158.194341853,15418.4534057787,1233.46004005512
"Oyo","Ibarapa Central",43199.5634633104,58043.3964861496,5622.95524861641,449.830500093292
"Oyo","Ibarapa East",49032.0045500192,65879.926842885,6382.119290832,510.562824229557
"Oyo","Ibarapa North",41965.2065362861,56384.9012890501,5462.28849170874,436.977328689176
"Oyo","Ido",43552.7150722624,58517.8947730485,5668.92228008423,453.507814217046
"Oyo","Irepo",50729.9775703123,68161.3415919798,6603.13139236804,528.243559672915
"Oyo","Iseyin",106957.655365768,143709.452131312,13921.8561810106,1113.73383767759
"Oyo","Itesiwaju",53303.7163696771,71619.4446283727,6938.13519634738,555.043511302312
"Oyo","Iwajowa",43033.8667368353,57820.764588505,5601.38777887558,448.105125220062
"Oyo","Kajola",83906.1443601087,112737.19487592,10921.4181115868,873.701950957525
"Oyo","Lagelu",61982.710057927,83280.633570148,8067.81311898428,645.416555798647
"Oyo","Ogbomosho North",83207.7912376669,111798.880135595,10830.5188514922,866.430105847874
"Oyo","Ogbomosho South",42001.1911789045,56433.2506405587,5466.9723361474,437.35203131316
"Oyo","Ogo Oluwa",27280.543365467,36654.4304611836,3550.89871758175,284.068159052744
"Oyo","Olorunsogo",34034.358673636,45728.9290972455,4429.99096275011,354.394613165912
"Oyo","Oluyole",85133.3880438247,114386.13264307,11081.1589922682,886.481053238295
"Oyo","Ona Ara",111121.831683647,149304.484064036,14463.8750165174,1157.09477388565
"Oyo","Orelope",43517.985707875,58471.2320268251,5664.40182556784,453.146182614829
"Oyo","Ori Ire",62516.2033060477,83997.440816352,8137.25383595285,650.971740049578
"Oyo","Oyo East",51924.5840200256,69766.4276217151,6758.6241350702,540.682815387746
"Oyo","Oyo West",57097.1671833727,76716.3658002045,7431.89954147447,594.544139081878
"Oyo","Saki East",45590.4500670448,61255.817352667,5934.15858725045,474.726439551978
"Oyo","Saki West",114342.457197988,153631.751024061,14883.0790937779,1190.63065873225
"Oyo","Surulere",58721.4972141212,78898.833039235,7643.32610090348,611.458041248245
